Time(Iteration),GeneralizedLinearBandit
109800,4795.567767177612
109900,4797.074529898664
110000,4798.429132363158
110100,4800.282752687211
110200,4801.791771301653
110300,4803.506834312702
110400,4804.895253224937
110500,4806.591285259637
110600,4808.720847331921
110700,4810.691516863767
110800,4812.7273861633685
110900,4814.3504440540155
111000,4815.797681069163
111100,4817.403285900866
111200,4819.404095449665
111300,4821.2921331195585
111400,4822.9449861337
111500,4824.579884223177
111600,4826.165215631367
111700,4827.630445495626
111800,4829.434147891298
111900,4831.560513608679
112000,4833.077552476421
112100,4834.416405585505
112200,4836.057522156854
112300,4837.503560469145
112400,4838.705176205068
112500,4840.304836133487
112600,4842.2647701463975
112700,4844.208085229449
112800,4845.757326218415
112900,4847.352010929414
113000,4848.442878894433
113100,4850.424794044936
113200,4852.1707680175505
113300,4853.7376296818975
113400,4855.532394398486
113500,4857.399435654045
113600,4859.368668976895
113700,4861.273104418344
113800,4862.762003707756
113900,4864.170616655227
114000,4865.737866341806
114100,4866.947745213407
114200,4869.070469903826
114300,4870.891880670716
114400,4872.440924005031
114500,4874.487018391882
114600,4876.3250588771725
114700,4877.84370883963
114800,4879.792564152669
114900,4881.445185486644
115000,4883.211796251858
115100,4884.929919931551
115200,4886.467370868633
115300,4887.771021596946
115400,4889.293916349552
115500,4891.003785611969
115600,4892.038131699137
115700,4893.5036456852395
115800,4894.802880195288
115900,4896.830159685416
116000,4898.491561811386
116100,4899.971546804484
116200,4901.662919871164
116300,4903.235185443164
116400,4905.124461321213
116500,4907.250572226978
116600,4908.835584594229
116700,4910.503612550578
116800,4911.994583222298
116900,4914.100285527986
117000,4915.619229671795
117100,4917.209712495709
117200,4918.186670708141
117300,4919.754637635789
117400,4921.521055528654
117500,4923.186183798921
117600,4924.430689030561
117700,4925.927334727382
117800,4927.299666903668
117900,4929.121196813819
118000,4930.456774237774
118100,4932.114650370072
118200,4933.623637244537
118300,4934.442846092804
118400,4935.874807383296
118500,4936.915314479358
118600,4939.082148240271
118700,4940.774278543379
118800,4942.491440099419
118900,4944.664112219677
119000,4945.783152156032
119100,4947.135264398528
119200,4949.539877746869
119300,4951.0936017940185
119400,4952.635405052465
119500,4954.107714373038
119600,4955.813323939785
119700,4957.5766592587515
119800,4958.936370196471
119900,4960.2680823607225
120000,4962.229419923373
120100,4963.864283227035
120200,4965.540182437223
120300,4967.632022737557
120400,4969.210263376944
120500,4970.595446406837
120600,4971.825750693037
120700,4973.684404190862
120800,4975.249812408002
120900,4976.988389209857
121000,4978.831407438507
121100,4980.042234056929
121200,4982.165735283617
121300,4983.858912440939
121400,4985.8165138322665
121500,4988.286807182438
121600,4989.989554983492
121700,4991.842072653409
121800,4993.626398511359
121900,4995.092200530746
122000,4996.3672782403555
122100,4998.008813488993
122200,4999.1754360343
122300,5000.823879898624
